iso,rank,name,population
CHN,1,China,"1,371,220"
IND,2,India,"1,311,051"
USA,3,United States,"321,419"
IDN,4,Indonesia,"257,564"
BRA,5,Brazil,"207,848"
PAK,6,Pakistan,"188,925"
NGA,7,Nigeria,"182,202"
BGD,8,Bangladesh,"160,996"
RUS,9,Russian Federation,"144,097"
MEX,10,Mexico,"127,017"
JPN,11,Japan,"126,958"
PHL,12,Philippines,"100,699"
ETH,13,Ethiopia,"99,391"
VNM,14,Vietnam,"91,713"
EGY,15,"Egypt, Arab Rep.","91,508"
DEU,16,Germany,"81,680"
IRN,17,"Iran, Islamic Rep.","79,109"
TUR,18,Turkey,"78,666"
COD,19,"Congo, Dem. Rep.","77,267"
THA,20,Thailand,"67,959"
FRA,21,France,"66,538"
GBR,22,United Kingdom,"65,129"
ITA,23,Italy,"60,731"
ZAF,24,South Africa,"55,012"
MMR,25,Myanmar,"53,897"
TZA,26,Tanzania,"53,470"
KOR,27,"Korea, Rep.","50,617"
COL,28,Colombia,"48,229"
ESP,29,Spain,"46,444"
KEN,30,Kenya,"46,050"
UKR,31,Ukraine,"45,154"
ARG,32,Argentina,"43,417"
SDN,33,Sudan,"40,235"
DZA,34,Algeria,"39,667"
UGA,35,Uganda,"39,032"
POL,36,Poland,"37,986"
IRQ,37,Iraq,"36,423"
CAN,38,Canada,"35,849"
MAR,39,Morocco,"34,378"
AFG,40,Afghanistan,"32,527"
SAU,41,Saudi Arabia,"31,540"
PER,42,Peru,"31,377"
UZB,43,Uzbekistan,"31,299"
VEN,44,"Venezuela, RB","31,108"
MYS,45,Malaysia,"30,331"
NPL,46,Nepal,"28,514"
MOZ,47,Mozambique,"27,978"
GHA,48,Ghana,"27,410"
YEM,49,"Yemen, Rep.","26,832"
PRK,50,"Korea, Dem. People's Rep.","25,155"
AGO,51,Angola,"25,022"
MDG,52,Madagascar,"24,235"
AUS,53,Australia,"23,790"
CMR,54,Cameroon,"23,344"
CIV,55,Côte d'Ivoire,"22,702"
LKA,56,Sri Lanka,"20,966"
NER,57,Niger,"19,899"
ROU,58,Romania,"19,815"
SYR,59,Syrian Arab Republic,"18,502"
BFA,60,Burkina Faso,"18,106"
CHL,61,Chile,"17,948"
MLI,62,Mali,"17,600"
KAZ,63,Kazakhstan,"17,544"
MWI,64,Malawi,"17,215"
NLD,65,Netherlands,"16,940"
GTM,66,Guatemala,"16,343"
ZMB,67,Zambia,"16,212"
ECU,68,Ecuador,"16,144"
ZWE,69,Zimbabwe,"15,603"
KHM,70,Cambodia,"15,578"
SEN,71,Senegal,"15,129"
TCD,72,Chad,"14,037"
GIN,73,Guinea,"12,609"
SSD,74,South Sudan,"12,340"
RWA,75,Rwanda,"11,610"
CUB,76,Cuba,"11,390"
TUN,77,Tunisia,"11,254"
BEL,78,Belgium,"11,249"
BDI,79,Burundi,"11,179"
BEN,80,Benin,"10,880"
