id_origin,id_destination,journeys,people
col_0_44_2_santiblanko,col_0_44_2_santiblanko,269,264
col_0_44_2_santiblanko,col_0_44_5_santiblanko,8,8
col_0_44_2_santiblanko,col_0_44_6_santiblanko,8,8
col_0_44_2_santiblanko,col_0_44_7_santiblanko,9,9
col_0_44_2_santiblanko,col_0_44_8_santiblanko,4,4
col_0_44_2_santiblanko,col_0_47_9_santiblanko,8,8
col_0_44_2_santiblanko,col_0_44_10_santiblanko,7,7
col_0_44_2_santiblanko,col_0_44_11_santiblanko,4,4
col_0_44_2_santiblanko,col_0_08_13_santiblanko,4,4
col_0_44_2_santiblanko,col_0_44_17_santiblanko,2,2
col_0_44_2_santiblanko,col_0_20_25_santiblanko,5,5
col_0_44_2_santiblanko,col_0_44_1088_santiblanko,1,1
col_0_44_2_santiblanko,col_0_44_1089_santiblanko,8,8
col_0_88_3_santiblanko,col_0_88_3_santiblanko,34,31
col_0_88_3_santiblanko,col_0_88_4_santiblanko,3,3
col_0_88_3_santiblanko,col_0_11_726_santiblanko,4,4
col_0_88_4_santiblanko,col_0_88_3_santiblanko,5,5
col_0_88_4_santiblanko,col_0_88_4_santiblanko,173,159
col_0_88_4_santiblanko,col_0_44_7_santiblanko,1,1
col_0_88_4_santiblanko,col_0_47_9_santiblanko,6,6
col_0_88_4_santiblanko,col_0_08_13_santiblanko,5,5
col_0_88_4_santiblanko,col_0_47_14_santiblanko,6,6
col_0_88_4_santiblanko,col_0_08_15_santiblanko,4,4
col_0_88_4_santiblanko,col_0_08_22_santiblanko,6,6
col_0_88_4_santiblanko,col_0_08_24_santiblanko,3,3
col_0_88_4_santiblanko,col_0_13_40_santiblanko,6,6
col_0_88_4_santiblanko,col_0_68_261_santiblanko,5,5
col_0_88_4_santiblanko,col_0_05_371_santiblanko,3,3
col_0_88_4_santiblanko,col_0_05_381_santiblanko,4,4
col_0_88_4_santiblanko,col_0_05_409_santiblanko,3,3
col_0_88_4_santiblanko,col_0_05_415_santiblanko,5,5
col_0_88_4_santiblanko,col_0_11_726_santiblanko,4,4
